(0, -0.12),
(0.04, -0.06),
(0.05, -0.05),
(0.06, -0.05),
(0.07, -0.06),
(0.08, -0.08),
(0.09, -0.06),
(0.1, -0.05),
(0.11, -0.05),
(0.12, -0.06),
(0.13, -0.08),
(0.13, -0.09),
(0.12, -0.11),
(0.11, -0.12),
(0.14, -0.11),
(0.17, -0.09),
(0.19, -0.07),
(0.2, -0.05),
(0.21, -0.02),
(0.21, 0.01),
(0.2, 0.04),
(0.19, 0.06),
(0.17, 0.08),
(0.14, 0.1),
(0.11, 0.11),
(0.12, 0.1),
(0.13, 0.08),
(0.13, 0.07),
(0.12, 0.05),
(0.11, 0.04),
(0.09, 0.03),
(0.06, 0.03),
(0.03, 0.04),
(0.03, 0.12),
(0.01, 0.09),
(-0.01, 0.09),
(-0.03, 0.12),
(-0.03, 0.04),
(-0.06, 0.03),
(-0.09, 0.03),
(-0.11, 0.04),
(-0.12, 0.05),
(-0.13, 0.07),
(-0.13, 0.08),
(-0.12, 0.1),
(-0.11, 0.11),
(-0.14, 0.1),
(-0.17, 0.08),
(-0.19, 0.06),
(-0.2, 0.04),
(-0.21, 0.01),
(-0.21, -0.02),
(-0.20, -0.05),
(-0.19, -0.07),
(-0.17, -0.09),
(-0.14, -0.11),
(-0.11, -0.12),
(-0.12, -0.11),
(-0.13, -0.09),
(-0.13, -0.08),
(-0.12, -0.06),
(-0.11, -0.05),
(-0.1, -0.05),
(-0.09, -0.06),
(-0.08, -0.08),
(-0.07, -0.06),
(-0.06, -0.05),
(-0.05, -0.05),
(-0.04, -0.06),
(0, -0.12)
